shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
12.0,3.0,2834,JAZZ,144.10001,112614.0,0.01059,55714.0,2020-10,8028387.95714,2020-10-01,5.9,4.5,A,,,,,-2.1,4.37,4.22,0.01,-3.05
,,,MNG-T,,,,,2007-06,,2007-06-01,4.11,4.22,BB,-0.002072333,-0.002390467,,0.007081158,-1.96,0.76,-1.07,0.4,0.51
,,,MAN-FF,,,,,2009-11,,2009-11-01,7.87,6.33,AA,0.020875258,-0.006693483,-0.012374083,-0.003914275,5.56,-2.39,-0.34,0.0,0.3
,,,ALBAN,,,,,2020-04,,2020-04-01,1.9,3.4,B,,,,,13.65,2.47,-1.26,0.0,-5.23
,,,1944,,,,,2017-12,,2017-12-01,3.1,3.4,BB,-0.024018125,0.00477915,-0.008567133,-0.016049375,1.06,-1.32,0.05,0.09,-1.54
,,,GARFA,,,,,2013-12,,2013-12-01,1.5,3.6,B,-0.00415995,-0.006994908,-0.006124225,0.008683142,2.81,-0.45,-0.02,0.0,0.02
11.0,3.0,2520,MLHR,23.83,117872.0,0.017072,58900.0,2020-08,1403587.0,2020-08-01,7.8,6.9,AA,,,,,7.63,-0.22,-2.96,0.01,0.55
,,,BMAX,,,,,2016-12,,2016-12-01,8.5,5.1,AA,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26
,,,THRG,,,,,2020-04,,2020-04-01,6.2,5.3,A,,,,,13.65,2.47,-1.26,0.0,-5.23
,,,GOL,,,,,2018-12,,2018-12-01,4.8,4.6,BBB,0.0266303,-0.006079133,-0.001905742,0.013719492,-9.57,-2.37,-1.85,0.2,2.11
,,,BVB,,,,,2019-08,,2019-08-01,7.3,6.1,AA,,,,,-2.58,-2.37,-4.77,0.16,6.92
,,,KDHOL,,,,,2019-09,,2019-09-01,3.9,4.8,BBB,,,,,1.43,-0.97,6.74,0.18,-6.81
