shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
44.0,1.0,6726,NXR,14.26,3670.0,-0.009453,13046.0,2018-02-01,186035.96,2018-02-01,7.2,6.7,AA,0.026113692,0.002226308,0.043850083,0.036912808,-3.65,0.23,-1.07,0.11,3.58
11.0,1.0,4911,NEE,98.03,432727.0,-0.042114,444124.0,2015-06-01,43537475.72,2015-06-01,9.8,7.6,AAA,-0.00169385,-0.019460867,0.032890975,-0.019411225,-1.53,2.9,-0.79,0.0,3.01
12.0,1.0,3531,CNHI,10.9,487277.0,0.08857,1353832.0,2019-04-01,14756768.8,2019-04-01,8.8,6.3,AAA,,,,,3.97,-1.74,2.14,0.21,-2.97
11.0,1.0,4931.0,CMS,18.52,395029.0,0.04045,224177.0,2007-04-01,4151758.04,2007-04-01,2.14,4.03,B,0.020791025,-0.000785308,,0.00798695,3.49,-2.15,-1.46,0.44,-0.24
31.0,1.0,5141,UL,47.91,364962.0,0.05158,163096.0,2016-06-01,7813929.359999999,2016-06-01,8.6,6.8,AAA,-0.03690975,0.003965408,-0.049939358,0.006606217,-0.05,0.6,-1.48,0.02,4.13
18.0,1.0,6798,PLD,42.73,572835.0,0.098458,524200.0,2015-10-01,22399066.0,2015-10-01,7.2,6.2,AA,-0.036427325,0.039352867,-0.004362908,0.005633967,7.75,-1.87,-0.46,0.0,-3.28
11.0,1.0,4931.0,CMS,27.99,724627.0,0.039566,266959.0,2013-07-01,7472182.409999999,2013-07-01,3.5,4.3,BB,0.023793058,-0.018698142,0.015696567,-0.016062967,5.65,1.86,0.57,0.0,1.76
11.0,1.0,4923.0,SE,42.75,1937745.0,0.200168,701289.0,2016-09-01,29980104.75,2016-09-01,7.6,6.2,AA,-0.00467505,0.017101967,-0.012727533,-0.000452958,0.25,2.13,-1.23,0.02,0.19
11.0,1.0,6162,SGM,10.02,12697.0,-0.003976,25781.0,2015-02-01,258325.62,2015-02-01,10.0,8.7,AAA,0.004692125,-0.001466408,0.040218358,-0.002807433,6.13,0.61,-1.86,0.0,-2.82
44.0,2.0,6722,UTG,30.39,50231.0,-0.017776,34339.0,2018-01-01,1043562.21,2018-01-01,8.1,6.1,AA,0.033935708,0.061400858,0.045588258,0.00420215,5.57,-3.15,-1.33,0.12,4.05
31.0,1.0,2911,SNP,67.36,28889.0,-0.104374,11499.0,2015-08-01,774572.64,2015-08-01,9.0,6.6,AAA,-0.00575945,0.005492483,-0.018212583,-0.000829442,-6.04,0.33,2.77,0.0,-2.09
11.0,1.0,4612.0,SRE,116.49,270743.0,0.030703,250831.0,2017-05-01,29219303.19,2017-05-01,8.0,6.6,AA,-0.038424192,-0.000799992,0.017869033,0.0323629,1.06,-2.52,-3.78,0.06,1.48
11.0,3.0,7370.0,MSFT,59.92,6148560.0,0.040278,7775351.0,2016-10-01,465899031.92,2016-10-01,9.8,6.5,AAA,-0.036525708,0.012396383,0.019624975,0.017342583,-2.02,-4.42,4.12,0.02,0.6
