shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,3.0,4932,CLNE,2.22,215927.0,0.062201,199507.0,2020-06-01,442905.54,2020-06-01,8.3,6.5,AA,,,,,2.46,2.7,-2.17,0.01,-0.73
11.0,3.0,2520,MLHR,23.02,114214.0,0.021295,58793.0,2020-05-01,1353414.86,2020-05-01,7.8,7.0,AA,,,,,5.58,2.47,-4.89,0.01,0.43
11.0,1.0,7363,RHI,52.94,163581.0,-0.004887,114635.0,2020-09-01,6068776.899999999,2020-09-01,8.5,6.8,AA,,,,,-3.63,0.04,-2.68,0.01,3.12
11.0,1.0,4911,NEE,73.59,1544182.0,0.009971,1959074.0,2020-11-01,144168255.66,2020-11-01,7.033333333333334,6.233333333333333,AA,,,,,12.47,5.81,2.13,0.01,-12.43
31.0,3.0,4812,VOD,13.51,945715.0,0.006706,384327.0,2020-10-01,5192257.77,2020-10-01,8.7,6.65,AAA,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,3.0,4911,XEL,62.5,663303.0,-0.032293,525205.0,2020-06-01,32825312.5,2020-06-01,7.840000000000001,6.58,AA,,,,,2.46,2.7,-2.17,0.01,-0.73
11.0,3.0,3674,TXN,161.25,752569.0,0.115222,917942.0,2020-11-01,148018147.5,2020-11-01,8.4,6.6,AA,,,,,12.47,5.81,2.13,0.01,-12.43
11.0,1.0,7363,TBI,15.53,76732.0,0.217085,36128.0,2020-04-01,561067.84,2020-04-01,8.5,6.9,AA,,,,,13.65,2.47,-1.26,0.0,-5.23
11.0,1.0,2621,BCC,23.78,99490.0,-0.329763,39197.0,2020-03-01,932104.66,2020-03-01,10.0,6.7,AAA,,,,,-13.39,-4.86,-13.95,0.13,7.97
73.0,3.0,6726,AIA,64.9,27660.0,0.09697,20000.0,2020-06-01,1298000.0,2020-06-01,9.1,6.8,AAA,,,,,2.46,2.7,-2.17,0.01,-0.73
31.0,1.0,2911,SHI,25.48,10332.0,-0.165957,3957.0,2020-01-01,100824.36,2020-01-01,10.0,7.0,AAA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,1.0,3489,ACCO,8.01,133858.0,-0.072917,96656.0,2020-02-01,774214.5599999999,2020-02-01,6.7,6.7,A,,,,,-8.13,1.07,-3.79,0.12,-0.4
11.0,1.0,5099,MMM,158.66,705376.0,-0.100669,575185.0,2020-01-01,91258852.1,2020-01-01,10.0,6.9,AAA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,3.0,7372,APPS,13.88,420719.0,0.104216,87584.0,2020-07-01,1215665.9200000002,2020-07-01,4.8500000000000005,4.8,AA,,,,,5.77,-2.32,-1.37,0.01,7.61
31.0,1.0,4931,CIG,1.93,9496.0,-0.053922,56421.0,2020-09-01,108892.53,2020-09-01,8.5,6.9,AA,,,,,-3.63,0.04,-2.68,0.01,3.12
11.0,3.0,4911,EXC,36.81,2158842.0,-0.146138,974408.0,2020-03-01,35867958.480000004,2020-03-01,7.8,6.514285714285714,AA,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,3.0,5990,PDCO,27.76,142398.0,0.11598,96504.0,2020-11-01,2678951.04,2020-11-01,10.0,6.3,AAA,,,,,12.47,5.81,2.13,0.01,-12.43
11.0,1.0,3842,IVC,8.53,43510.0,0.051788,34412.0,2020-11-01,293534.36,2020-11-01,10.0,7.2,AAA,,,,,12.47,5.81,2.13,0.01,-12.43
73.0,3.0,6726,AIA,74.26,24665.0,0.033974,26450.0,2020-10-01,1964177.0,2020-10-01,9.1,6.6,AAA,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,3.0,3674,TXN,164.13,862153.0,0.01786,919354.0,2020-12-01,150893572.01999998,2020-12-01,8.4,6.2,AA,,,,,4.63,4.89,-1.5,0.01,-2.32
11.0,3.0,3366,MATW,22.36,43572.0,0.021005,31832.0,2020-09-01,711763.52,2020-09-01,7.3,6.8,AA,,,,,-3.63,0.04,-2.68,0.01,3.12
73.0,4.0,6726,IG,27.5821,1094.0,0.033234,4150.0,2020-07-01,114465.715,2020-07-01,8.5,6.8,AA,,,,,5.77,-2.32,-1.37,0.01,7.61
11.0,1.0,4911,CMS,61.01,347606.0,-0.008612,286334.0,2020-12-01,17469237.34,2020-12-01,8.1,6.4,AA,,,,,4.63,4.89,-1.5,0.01,-2.32
11.0,3.0,7372,APPS,28.66,776256.0,-0.124618,88697.0,2020-10-01,2542056.02,2020-10-01,4.7,4.95,AA,,,,,-2.1,4.37,4.22,0.01,-3.05
12.0,1.0,1389,CLB,20.22,189133.0,0.031616,44457.0,2020-05-01,898920.5399999999,2020-05-01,7.8,6.8,AA,,,,,5.58,2.47,-4.89,0.01,0.43
44.0,3.0,6726,CGO,11.25,6749.0,-0.130934,8656.0,2020-02-01,97380.0,2020-02-01,8.4,6.7,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
48.0,1.0,6798,LPT,62.65,243554.0,0.043297,157835.0,2020-01-01,9888362.75,2020-01-01,8.1,6.5,AA,,,,,-0.11,-3.11,-6.23,0.13,5.98
73.0,4.0,6726,SDY,79.86,377481.0,-0.153666,177904.0,2020-03-01,14207413.44,2020-03-01,10.0,7.6,AAA,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,1.0,3489,ACCO,6.48,99682.0,0.003834,94462.0,2020-08-01,612113.76,2020-08-01,7.0,6.7,A,,,,,7.63,-0.22,-2.96,0.01,0.55
12.0,1.0,3699,CAE,12.62,200804.0,-0.526292,266074.0,2020-03-01,3357853.88,2020-03-01,10.0,6.4,AAA,,,,,-13.39,-4.86,-13.95,0.13,7.97
