shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom,rank,mktcap_pct
11.0,3.0,5510,MGRC,67.1,21142.0,0.054368,24128.0,2020-12-01,1618988.7999999998,2020-12-01,6.7,6.5,A,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.0017099580326944079
31.0,1.0,2911,SHI,20.58,10205.0,-0.060274,3957.0,2020-12-01,81435.06,2020-12-01,10.0,6.5,AAA,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,8.601080809820986e-05
11.0,1.0,2834,WST,283.31,99140.0,0.029619,73927.0,2020-12-01,20944258.37,2020-12-01,10.0,6.5,AAA,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.022121093634871712
12.0,1.0,4911,AZRE,40.77,55897.0,0.077147,47845.0,2020-12-01,1950640.65,2020-12-01,7.4,6.5,AA,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.002060245042070545
18.0,1.0,4812,AMT,224.46001,530031.0,-0.023919,444213.0,2020-12-01,99708054.42213,2020-12-01,6.4,6.5,A,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.10531054234807084
11.0,3.0,8090,BEAT,72.08,238423.0,0.300848,34261.0,2020-12-01,2469532.88,2020-12-01,7.4,6.5,AA,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.0026082932662406036
11.0,3.0,3550,AMAT,86.3,1257954.0,0.046314,914711.0,2020-12-01,78939559.3,2020-12-01,8.4,6.5,AA,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.0833750879082002
11.0,1.0,1389,OII,7.95,236603.0,0.30972,99305.0,2020-12-01,789474.75,2020-12-01,6.8,6.5,A,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.0008338344838283684
12.0,1.0,8741,INFO,89.83,913024.0,-0.096823,396486.0,2020-12-01,35616337.38,2020-12-01,8.2,6.5,AA,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.03761758092340423
11.0,1.0,2834,OMI,27.05,310231.0,0.050175,73512.0,2020-12-01,1988499.6,2020-12-01,8.1,6.5,AA,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.00210023124559578
12.0,1.0,4931,AQN,16.46,124628.0,0.059636,597031.0,2020-12-01,9827130.26,2020-12-01,8.3,6.5,AA,,,,,4.63,4.89,-1.5,0.01,-2.32,143.0,0.010379306099227669
