shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom,rank
11.0,1.0,3841.0,MMM,178.57001,389754.0,0.039769,601466.0,2016-12-01,107403789.63466,2016-12-01,10.0,6.4,AAA,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
31.0,1.0,8299.0,DL,11.18,9081.0,-0.178545,20293.0,2016-12-01,226875.74,2016-12-01,8.9,6.4,AAA,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
11.0,1.0,3826.0,A,45.56,340876.0,0.038927,321748.0,2016-12-01,14658838.88,2016-12-01,8.8,6.4,AAA,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
11.0,1.0,3996.0,AWI,41.8,86635.0,0.002398,55186.0,2016-12-01,2306774.8,2016-12-01,7.0,6.4,A,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
11.0,1.0,4923.0,SE,41.09,693553.0,0.003419,701520.0,2016-12-01,28825456.8,2016-12-01,7.3,6.4,AA,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
12.0,1.0,3674.0,STM,11.35,482003.0,0.117532,910560.0,2016-12-01,10334856.0,2016-12-01,7.1,6.4,A,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
11.0,1.0,3084.0,WMS,20.6,68244.0,0.014778,55075.0,2016-12-01,1134545.0,2016-12-01,6.8,6.4,A,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
11.0,1.0,3089.0,MYE,14.3,20090.0,0.010601,29922.0,2016-12-01,427884.6,2016-12-01,4.4,6.4,BBB,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
11.0,3.0,5047.0,HSIC,151.71001,119618.0,0.018461,79403.0,2016-12-01,12046229.92403,2016-12-01,10.0,6.4,AAA,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
11.0,3.0,9999.0,KIN,4.25,6424.0,0.0,19916.0,2016-12-01,84643.0,2016-12-01,8.5,6.4,AA,-0.0098401,0.000704892,0.000217475,0.007845542,1.81,0.08,3.56,0.03,-0.26,136.0
